"","gmean","variance","residual_variance"
"FCN3",0.0957119451912551,0.260497264659551,3.51887306333205
"CD164L2",0.0468846587889831,0.0789323958569967,0.546258928714412
"GPR3",0.00809724738286421,0.0125989934211969,0.285168999568336
"WASF2",0.328800685484782,0.842469962150889,0.929723536656904
"BX293535.1",0.00176198750074685,0.00363222425943466,0.0692492702433784
"AHDC1",0.315640869229422,0.717079191840439,1.09092157526644
"FGR",0.0516777455684372,0.095931602626887,1.19964484132564
"IFI6",3.88636749866045,154.710545905348,1.41718363091453
"AL020997.5",0.00157729350896618,0.00226962292811564,0.0565362128743966
"FAM76A",0.109088783672647,0.183936697175199,0.794155338789787
"STX12",0.400049539815717,1.19187148099827,0.991176486032819
"AL020997.2",0.00955522989028146,0.0157247421174568,0.298838825522367
"AL020997.3",0.00505610200317164,0.00722638009418625,0.179219584872946
"PPP1R8",0.238518598451366,0.543942341232946,1.0837707889757
"THEMIS2",0.105843259515037,0.228248343506291,1.03488225911602
"RPA2",0.419968583269069,1.80108544664815,0.763986072873169
"SMPDL3B",0.56322522980374,4.2810595932223,1.03617436043065
"XKR8",0.173406317525139,0.373100354574274,0.902542579861951
"EYA3",0.0983295489843152,0.154564424808861,0.791151891998143
"PTAFR",0.0280473575993376,0.0447299852153824,0.751437818884737
"DNAJC8",0.515475195707106,1.94285308774236,0.988904840662856
"ATP5IF1",0.987365022844295,11.9718997095626,0.922685151939032
"AL353622.1",0.0445460914711158,0.071747394485292,0.713587433089326
"SESN2",0.304545989736547,0.674775654911386,1.17140293072186
"MED18",0.0917713187935156,0.151361711688786,0.880377884188005
"PHACTR4",0.325732592860083,0.689212691185216,1.17067652311881
"RCC1",0.521228343757069,1.6778323011411,1.05697219470027
"SNHG3",0.433027492922676,1.44278501974386,1.02736125221001
"TRNAU1AP",0.588070465569109,2.50612839569315,0.860770629896278
"SNHG12",0.274612333301681,0.86817152804588,0.894696291426639
"TAF12",0.244349327466778,0.623844240557688,0.813041687749336
"RAB42",0.0126882281886387,0.017867332367554,0.352439711070693
"LINC01715",0.00410613949348293,0.00587950267741024,0.146344048016683
"AL360012.1",0.0490847415838704,0.0866052523667595,1.23566579499527
"GMEB1",0.0811227263877519,0.142303909337564,0.92980311799414
"YTHDF2",0.719928473524242,2.77316598122811,0.871265533978331
"EPB41",0.632115338021844,1.75636828883672,1.08236599226596
"TMEM200B",0.0169554019954168,0.0280365672046314,0.563596599985335
"SRSF4",0.550633221507227,1.82113757556273,0.899846619840748
"MECR",0.132411364370908,0.268770940219746,0.848325150332118
"PTPRU",0.485491466469534,1.48151715913554,1.16236346444597
"MATN1-AS1",0.0152995078740843,0.0236160782819224,0.333963359347358
"LAPTM5",0.357437901441013,1.47073924329074,2.17383329508305
"LINC01778",0.00695872408809906,0.00990896267266823,0.240020257976181
"SDC3",0.463694643832575,1.50941800413044,1.13397024220706
"PUM1",0.551955295752395,1.65155639857806,1.05390820032422
"SNRNP40",0.170580841912454,0.439629892154636,0.907630976471095
"ZCCHC17",0.20050343143286,0.419431282562472,0.989073239996503
"FABP3",0.834198130380828,9.99531054938107,1.26115151255397
"SERINC2",1.31777157472586,14.1490258828047,0.915665385718157
"LINC01226",0.03245901703213,0.0483055206250174,0.701692719731059
"TINAGL1",0.367459010906714,1.33495786197796,0.991004715538335
"PEF1",0.297975132522113,1.05070714167785,0.79501437222065
"COL16A1",0.322617893261659,1.41019224140678,2.5735169080953
"ADGRB2",0.0178630005772527,0.0270803049280817,0.474481135101564
"SPOCD1",0.010005626509962,0.0152567487661899,0.311100878407867
"PTP4A2",1.01682777775967,6.56931370492249,0.897786017708647
"KHDRBS1",0.810341839542931,2.76565822582105,0.926602769075299
"TMEM39B",0.122486834183676,0.22986335504475,0.908520152056821
"KPNA6",0.19022354542242,0.300692555678176,1.73143852640062
"AL049795.2",0.0282369327538914,0.0429101490006417,0.588354225686758
"TXLNA",0.381437100170807,1.03439109761613,1.00900132684521
"CCDC28B",0.0349059050932161,0.0610054781290694,0.833136928715377
"AL049795.1",0.00410613949348293,0.00587950267741024,0.146812761465857
"IQCC",0.0362916423648358,0.0594972236946152,0.823862759038154
"TMEM234",0.0455095345933874,0.0751470703243803,0.664959737261818
